Medicines,Drugs
Clobetrex-NN ,Clobetasol Propionate 
Cortiderm-NN ,Clobetasol Propionate 
Clobetrex-S  lotion,Clobetasol Propionate
Clamoxin ,Amoxicillin 
Cenovate-N ,Betamethasone 
Chlortab ,Chlorpheniramine 
Colen ,Chlorpheniramine 
Clastin ,Clemastine 
Citi-Vo ,Levocetirizine 
Citrafast ,Levocetirizine 
Concidol ,Levocetirizine 
Cloquin ,Chloroquine Phosphate 
Caprin ,Aspirin 
Caspia ,Aspirin 
Cosaderm ,Salicyclic Acid 
C-Zine ,Cetirizine 
Cayzine ,Cetirizine 
Cene ,Cetirizine 
Cenex ,Cetirizine 
Ceridal ,Cetirizine 
Cetahist ,Cetirizine 
Cetoval ,Cetirizine 
Cetranen ,Cetirizine 
Cetrihit ,Cetirizine 
Cetrimak ,Cetirizine 
Cetrimate ,Cetirizine 
Cetrin ,Cetirizine 
Cetriza ,Cetirizine 
Cetsun ,Cetirizine 
Cetzi ,Cetirizine 
Cezen ,Cetirizine 
Cezine ,Cetirizine 
Cipzin ,Cetirizine 
Cistazine ,Cetirizine 
Citgen ,Cetirizine 
Citpharm ,Cetirizine 
Citragic ,Cetirizine 
Citriza ,Cetirizine 
Citzar ,Cetirizine 
Citzin ,Cetirizine 
Concidol Neo ,Cetirizine 
Coxyzin ,Cetirizine 
Ctzine ,Cetirizine 
Cyten ,Cetirizine 
C.P.M Malate ,Chlorpheniramine 
Cepiam ,Chlorpheniramine 
Cinfos ,Fosfomycin 
Claridine ,Loratadine 
Clarin ,Loratadine 
Clazin ,Loratadine 
Clintol ,Loratadine 
Capto ,Captopril 
Cardiocap ,Captopril 
Cardiotec ,Enalapril Maleate 
Coniuren ,Enalapril Maleate 
Co-Amotac ,Enalapril Maleate 
Convpril ,Lisinopril dihydrate 
Caypulgite ,Attapulgite 
Chilpol Extra ,Paracetamol 
Caftalidon ,Propyphenazone 
Campol ,Paracetamol 
Chilpol Forte ,Paracetamol 
Caraclor ,Cefaclor 
Ceffest ,Cefixime 
Dynetic ,Itopride
Dulan ,Duloxetine 
Daktarin Oral Gel ,Miconazole 
D-Max (Sugar Free) ,Cholecalciferol 
Duodart ,Dutasteride 
Dermovate  Cream ,Clobetasol 
Donecept ,Donepezil
Danzen ,Serrapeptase 
D-Max ,Cholecalciferol 
Daktacort Cream ,Hydrocortisone 
Distalgesic ,Paracetamol 
Dan-D ,Cholecalciferol
Deprel ,Trazodone 
Dexatob Ear Drop ,Dexamethasone 
Doxium ,Calcium Dobesilate 
Duricef Susp ,Cefadroxil
D,Cholecalciferol 
Daflon ,Diosmin 
Daktarin ,Miconazole 
Decadron ,"Dexamethasone, Inj/Oral "
Depricap ,Fluoxetine 
Duragesic Forte Tab ,Orphenadrine 
Depex ,Fluoxetine 
Dermosporin ,Clotrimazole 
Dicloran Gel ,"Diclofenac Sodium, topical "
Drate ,Alendronate 
DYNAQUIN ,Levofloxacin
Dilatrend ,Carvedilol 
Daonil ,Glibenclamide 
Diabetron ,Gliclazide 
Diamicron MR ,Gliclazide 
Diamicron ,Gliclazide 
Diabold ,Glimepiride 
Diatrol ,Glimepiride 
Dapakan ,Divalproex Sodium 
Dipodium ,Divalproex Sodium 
Devenda ,Levetiracetam 
Duragesic ,Orphenadrine 
Diovan ,Valsartan 
Dioplus ,Valsartan 
Diu-Tansin ,Losartan Potassium 
Drate Plus D ,Alendronate 
Danzol ,Danazol 
Detriflow ,Tolterodine 
Domel ,Domperidone Maleate 
Desferal ,Desferrioxamine Mesylate 
Domflash ,Domperidone 
Dupearl ,Clindamycin 
Dermovate ,"Clobetasol, topical "
Dermovate-NN  ointment,Clobetasol Propionate
Deximox ,Dexamethasone 
Dexoflox ,Dexamethasone 
Delergic ,Desloratadine 
Destina ,Desloratadine 
Dictrin ,Desloratadine 
Diphos ,Dihydroartemisinin 
Dipip ,Dihydroartemisinin 
Disprin ,Aspirin 
Dervit ,Calcipotriol 
Dervit - B Ointment ,Calcipotriol 
Diflucan ,Fluconazole 
Derma Smooth ,Fluocinolone 
Dentifen ,Flurbiprofen 
Duphalac ,Lactulose 
Dynaquin ,Levofloxacin 
Depsit ,Escitalopram 
Digestine ,Metoclopramide Resinate 
Diosecta ,Dioctahedral Smectite 
Dologin ,Mefenamic Acid 
Dologin DS ,Mefenamic Acid 
Diabold Plus ,Glimepiride
Desora ,Desloratadine
Dromax ,Cefadroxil 
Duricef ,Cefadroxil 
Dinacor ,Cefdinir 
Daypime ,Cefepime 
Deact ,Cefoperazone 
Deezon Plus,Cefoperazone 
Daytaxime ,Cefotaxime 
Day Fort ,Ceftazidime 
Dayline ,Ceftriaxone 
Dolgina ,Dexlansoprazole 
Dorlol ,"Dorzolamide and Timolol, Eye "
Dexibu ,Dexibuprofen 
Dexy ,Dexibuprofen 
Diarox ,Diacerein 
Diclorep ,Diclofenac potassium 
Dolo-K ,Diclofenac potassium 
Dyclo-P ,Diclofenac potassium 
Diclotol ,Diclofenac Sodium and Misoprostol 
Dimis ,Diclofenac Sodium and Misoprostol 
Dipros ,Diclofenac Sodium and Misoprostol 
Dolact ,Diclofenac Sodium 
Dicloran SR ,Diclofenac Sodium 
Dicloran ,Diclofenac Sodium 
Dicloscot ,Diclofenac Sodium 
Dyclo SR ,"Diclofenac Sodium, oral "
Dyclo ,Diclofenac Sodium 
Dermy  ,"Fusidic Acid, topical "
Dolonap ,Naproxen 
Dolotec ,Naproxen 
Dextop ,Dexlansoprazole 
Depilus ,Eflornithine
Diagesic Extra ,Tramadol and Paracetamol
Dopamine ,Dopamine
Divestra ,Cyproterone acetate 
Daba ,Strontium Ranelate 
Dapa ,Dapagliflozin 
Depotone ,Medroxyprogesterone Acetate 
Diasar ,Amlodipine
Duprex ,Duloxetine
DX,Cholecalciferol 
Dalacin C ,Clindamycin 
Duphaston ,Dydrogesterone 
Dalacin C ,Clindamycin
Dermoquin ,Hydroquinone 
Deslavid ,Desloratadine 
Dol-p ,Tramadol 
Diabold Plus ,Glimepiride 
Dobutel ,Dobutamine 
Dopamine Inj ,Dopamine 
Dinemic ,Trimetazidine dihydrochloride 
Dosik ,Haloperidol 
D Tres ,Cholecalciferol 
Dan-D ,Vitamin D3 
Dilair ,Montelukast 
Diampa ,Empagliflozin 
Duragesic-T ,Tramadol
Diampa  ,Empagliflozin 
Diampa-M ,Empagliflozin 
Descol ,Atorvastatin calcium trihydrate 
Dostax ,Duloxetine 
Dapaglu ,Dapagliflozin 
Dolonap ,"Naproxen, oral "
Diajard-M ,Empagliflozin 
Detrusitol    ,Tolterodine 
Diajard-MXR ,Metformin 
Dapa-Met ,Dapagliflozin 
Dapa-Met XR ,Dapagliflozin 
Dapa-Met XR   ,Dapagliflozin 
Diajard ,Empagliflozin 
Duvel plus ,Metformin 
Dimed-S  lotion,"Betamethasone Dipropionate and Salicyclic Acid, to"
Diflucan  ,Fluconazole 
Diampa-M  ,Empagliflozin 
Daplyza - M  ,Dapagliflozin 
Daplyza - M ,Dapagliflozin 
Daplyza ,Dapagliflozin 
Daploz ,Dapagliflozin 
Daplozmet ,Dapagliflozin 
Dune ,Montelukast 
Dentisept ,Benzydamine Hydrochloride 
Dexxoo ,Dexlansoprazole 
Dingo ,Desloratadine 
Diampa LT  ,Empagliflozin 
Diampa LT ,Empagliflozin 
Daplazole ,Dexlansoprazole 
Dowmoxi ,"Moxifloxacin, Oral "
Diajard MXR ,Empagliflozin 
Diajard-MXR ,Empagliflozin 
Dijex MP Syp  suspension,Aluminium Hydroxide
Dermoquin Cream ,Hydroquinone
Diab-Tus ,Chlorpropamide 
Diglyta ,Pioglitazone 
Diglyta Plus ,Pioglitazone 
Doricum ,Fluocinolone 
Dexacor ,Dexamethasone 
Deltafast ,Desloratadine 
Diclomin ,Diclofenac Sodium 
Diclotek ,Diclofenac Sodium 
Difsom Eye ,Diclofenac Sodium 
Davizin ,Cetirizine 
Duride ,Furosemide 
Diclokalium ,Diclofenac potassium 
Difam Plus ,Diclofenac sodium 
Davitran ,Diclofenac Sodium 
Diclozaf ,Diclofenac Sodium 
Difam ,Diclofenac Sodium 
Difsom ,Diclofenac Sodium 
Doltee Teething  drops,Lignocaine with Benzyl Alcohol
Dermosalic  ointment,"Betamethasone Dipropionate and Salicyclic Acid, to"
Dijex Mp Mixed Fruit  suspension,Alumina Magnesia
Doloraid ,Tramadol 
Dimed-Z ,"Betamethasone Dipropionate, and Clotrimazole, topi "
Dimed-S  ointment,"Betamethasone Dipropionate and Salicyclic Acid, to"
Diazinc ,Zinc Sulphate Monohydrate 
Dowcoxia ,Etoricoxib 
Deltacortril ,Prednisolone 
Deltacortril Enteric Coated ,Prednisolone 
Dormicum ,Midazolam 
Dementio ER ,Galantamine HBr 
Diane ,Cyproterone acetate 
Duofilm ,Lactic Acid
Dilzem ,Diltiazem HCI 
Dopergin ,Lisuride
Degoal  tablet,Calcium Supplement
Diabetone  capsule,Multivitamin with Mineral
Depio Provera ,Medroxyprogesterone Acetate 
Desofam ,Ethinyloestradiol 
Delaware ,Carvedilol 
Dimitone ,Carvedilol 
Diabinil ,Glibenclamide 
Diabo ,Gliclazide 
Diocid ,Gliclazide 
Diaglide ,Glimepiride 
Diaglim ,Glimepiride 
Dialex ,Glimepiride 
Dibnil ,Glimepiride 
Difree ,Glimepiride 
Diryl ,Glimepiride 
Diabescot ,Metformin 
Diabin ,Metformin 
Diactal ,Pioglitazone 
Dizone ,Pioglitazone 
Dowglit ,Pioglitazone 
Dorfene ,Buprenorphine 
Dermaan ,Codeine 
Dextagesic ,Dextropropoxyphene 
Doren ,Dextropropoxyphene 
Dosavin ,Dextropropoxyphene 
Draphene ,Dextropropoxyphene 
Dypon ,Dextropropoxyphene 
Diprivan ,Propofol 
Dirite ,Divalproex Sodium 
Dihydan ,Phenytoin 
Dilantin ,Phenytoin 
Dygab ,Pregabalin. 
Dalacin-V  cream,Clindamycin
Dermotrim Vaginal ,Clotrimazole 
Dinoprose E-,Dinoprostone 
Dolex ,Orphenadrine 
Dexal ,Suxamethonium 
Dysoprin ,Cyclobenzaprine 
Denile ,Telmisartan 
Denile Plus ,Telmisartan 
Diaval ,Valsartan 
Diastolic ,Candesartan Cilexetil 
Diastolic H ,Candesartan Cilexetil 
Denser ,Raloxifene 
Dronate ,Risedronate Sodium 
Danatris ,Danazol 
Danaxy ,Danazol 
Danocrine ,Danazol 
Decapeptyl ,Triptorelin 
Detrusitol ,Tolterodine 
Dalemycin ,Azithromycin 
Delide ,Azithromycin 
Dome-One Maleate ,Domperidone Maleate 
Dompro Maleate ,Domperidone Maleate 
Domwis ,Domperidone Maleate 
Donald ,Domperidone Maleate 
Digesso ,Esomeperazole 
Domilium ,Domperidone 
Dompedone ,Domperidone 
Duac ,Clindamycin 
Dutran DS ,Trimethoprim 
Devom ,Dimehydrinate 
Dirinate ,Dimehydrinate 
Dipotil ,Diphenoxylate 
D-Done ,Domperidone 
Do-One ,Domperidone 
Dodon ,Domperidone 
Dolium ,Domperidone 
Domact ,Domperidone 
Domec ,Domperidone 
Domid ,Domperidone 
Domipar ,Domperidone 
Domotin ,Domperidone 
Domptillium ,Domperidone 
Domsave ,Domperidone 
Dopin ,Domperidone 
Dalacin-T ,Clindamycin 
Duac  gel,Clindamycin
Dastak ,Desloratadine 
Desbro ,Desloratadine 
Descover ,Desloratadine 
Desgen ,Desloratadine 
Desgood ,Desloratadine 
Deslet ,Desloratadine 
Deslor ,Desloratadine 
Desloreal ,Desloratadine 
Deslort ,Desloratadine 
Desoline ,Desloratadine 
Destazine ,Desloratadine 
Destra ,Desloratadine 
Destrex ,Desloratadine 
Dinestin ,Desloratadine 
Disdine ,Desloratadine 
Dulin ,Desloratadine 
Dolcidol ,Mebhydrolin 
Deloquin ,Chloroquine Phosphate 
Dosaquin ,Chloroquine Phosphate 
Dimisinex ,Dihydroartemisinin 
Deerin ,Aspirin 
Difen-Stulln UD ,Diclofenac Sodium 
Dylac ,Ketorolac 
Daivobet Ointment ,Calcipotriol 
Daivonex ,Calcipotriol 
Dithroderm ,Dithranol 
Dithrosil ,Salicyclic Acid 
Daplin ,Adapalene 
Dfovir ,Adefovir Dipivoxil 
Deenopan ,Hyoscine 
Delflox ,Flucloxacillin 
Deconazol ,Fluconazole 
Derocon ,Fluconazole 
Deyeast ,Fluconazole 
Difloze ,Fluconazole 
Dulpro ,Flurbiprofen 
Dapac ,Lactulose 
Davilac ,Lactulose 
Day Soft ,Lactulose 
D-Burn ,Lansoprazole 
Deepro ,Lansoprazole 
Doudcer-Nil ,Lansoprazole 
Duzol ,Lansoprazole 
Delvocin ,Levofloxacin 
DAZ ,Diazepam 
Diazin ,Diazepam 
Diazomil ,Diazepam 
Dongsulin ,Soluble Insulin 
Dongsulin N ,Insulin NPH 
Dongsulin R ,Insulin Regular 
Dopril ,Perindopril 
Dipitl ,Diphenoxylate and Atropine 
Diarrazole ,"Furazolidone, Oral "
Diarlope ,Loperamide 
Dard Aram ,Aspirin 
Deemac ,Mefenamic Acid 
Deemac Forte ,Mefenamic Acid 
Delmic ,Mefenamic Acid 
Delmic DS ,Mefenamic Acid 
Dolor ,Mefenamic Acid 
Doloran DS ,Mefenamic Acid 
Delmol Extra ,Paracetamol 
Donamol Plus ,Paracetamol 
Diagesic-P ,Paracetamol 
Deepol ,Paracetamol 
Delmol ,Paracetamol 
Detamol ,Paracetamol 
Disprol ,Paracetamol 
Danvar ,Cefaclor 
Deucef ,Cefaclor 
Distaclor ,Cefaclor 
Davox ,Cefadroxil 
Droxcef ,Cefadroxil 
Droxil ,Cefadroxil 
Droxilite ,Cefadroxil 
Droxim ,Cefadroxil 
Droxun ,Cefadroxil 
Duraxic ,Cefadroxil 
Durixil ,Cefadroxil 
Dinor ,Cefdinir 
Dizma-,Cefepime 
Danxime ,Cefixime 
Delsixime ,Cefixime 
Dispel ,Cefixime 
Dispel DS,Cefixime 
Duet ,Cefixime 
Dardum ,Cefoperazone 
Daffodel ,Cefoperazone 
Dortis ,Cefotaxime 
Dox-B ,Cefpodoxime 
Doxicef ,Cefpodoxime 
Dimicef ,Ceftazidime 
Dewtrazone ,Ceftriaxone 
Dinaphin ,Ceftriaxone 
Dynac ,Ceftriaxone 
Daycef ,Cefuroxime 
Dowcef ,Cefuroxime 
Defalex ,Cephalexin 
Delexin ,Cephalexin 
Dyclo ,"Diclofenac Sodium, oral "
Dosef ,Cephradine 
Dynacef ,Cephradine 
Dexamethasone ,Dexamethasone 
Dorsiflex ,Celecoxib 
Dexifen ,Dexibuprofen 
Dexitab ,Dexibuprofen 
Dexiwin ,Dexibuprofen 
Dexyken ,Dexibuprofen 
Dicerin ,Diacerein 
Diora ,Diacerein 
Diritis ,Diacerein 
Dycer ,Diacerein 
Deflam ,Diclofenac potassium 
Demsun P ,Diclofenac potassium 
Dicfin ,Diclofenac potassium 
Dicowise.K ,Diclofenac potassium 
Dicway-C ,Diclofenac sodium 
Dyclo Plus ,Diclofenac sodium 
D-Fenac ,Diclofenac Sodium and Misoprostol 
D-Prostol ,Diclofenac Sodium and Misoprostol 
Danotech ,Diclofenac Sodium and Misoprostol 
Distol ,Diclofenac Sodium and Misoprostol 
Defnac ,Diclofenac Sodium 
Denum ,Diclofenac Sodium 
Diacron ,Diclofenac Sodium 
Diagesic Plus ,Diclofenac Sodium 
Dianic ,Diclofenac Sodium 
Diclobid ,Diclofenac Sodium 
Diclocin ,Diclofenac Sodium 
Diclofaz ,Diclofenac Sodium 
Diclofenac sodium ,Diclofenac Sodium 
Diclogesic ,Diclofenac Sodium 
Diclogray ,Diclofenac Sodium 
Diclopulse ,Diclofenac Sodium 
Diclosave ,Diclofenac Sodium 
Diclox ,Diclofenac Sodium 
Dicofen ,Diclofenac Sodium 
Dicrays ,Diclofenac Sodium 
Dicsod ,Diclofenac Sodium 
Diflosid ,Diclofenac Sodium 
Diklonat P ,Diclofenac Sodium 
Dissium ,Diclofenac Sodium 
Dolnot ,Diclofenac Sodium 
Doloflam ,Diclofenac Sodium 
Doltran ,Diclofenac Sodium 
Dycloxan ,Diclofenac Sodium 
Dansaid ,Flurbiprofen 
Deltafen ,Ibuprofen 
Dorafen ,Ibuprofen 
Defumide ,Leflunomide 
Dimara ,Leflunomide 
Dephlog ,Naproxen 
Daypro ,Oxaprozin 
Delpirox ,Piroxicam 
Dexin ,Piroxicam 
Diodex ,Piroxicam 
Danrexin ,Piroxicam-beta-cyclodextrin 
Detacam ,Piroxicam-beta-cyclodextrin 
Dolopro ,Piroxicam-beta-cyclodextrin 
DULOSOFT ,Duloxetine
DSoft ,Cholecalciferol
D-Tres ,Cholecalciferol
Dermazin ,Silver Sulphadiazine 
Dirogest ,Dydrogesterone
Diagesic  tablet,Dextropropoxyphene
Dianagesic  tablet,Dextropropoxyphene
Dosavin  tablet,Dextropropoxyphene
Draphene  tablet,Dextropropoxyphene
Dypon  tablet,Dextropropoxyphene
Darvin ,Tramadol 
Deprogesic-p ,Tramadol 
Dioxin ,Digoxin 
Dobuject ,Dobutamine 
Dobutamine Inj ,Dobutamine 
Dotrex ,Dobutamine 
Duvig ,Dobutamine 
Deponit ,Glyceryl Trinitrate 
Disprin cold n fever ,Aspirin 
Doloran ,Mefenamic Acid 
Doxfree ,Doxofylline 
Doxolin ,Doxofylline 
Daycast ,Montelukast 
Donataxel ,Docetaxel 
Depotone  ,Medroxyprogesterone Acetate 
Docetaxel ,Docetaxel 
Danset ,Ondansetron 
Dermazin Cream ,Silver Sulphadiazine 
Disprol Pediatric Suspension  paeds suspension,Paracetamol
Dolor DS Syrup ,Mefenamic Acid 
Dayalets Tab  tablet,Multivitamin with Mineral
Dabwin ,Chlorpropamide 
Desugar ,Glibenclamide 
Diabeta ,Glibenclamide 
Diamide ,Glibenclamide 
Diamin ,Glibenclamide 
Dicon ,Glibenclamide 
DB-Zide ,Gliclazide 
Diaglic ,Gliclazide 
Diclazide ,Gliclazide 
Diabimin ,Metformin 
Dianorm ,Metformin 
Dibex ,Metformin 
Diatco ,Pioglitazone 
Diagliet ,Rosiglitazone 
Duogab ,Gabapentin 
Davizol-V ,Clotrimazole 
D-Tone ,Tizanidine 
Dine ,Tizanidine 
Diuralka ,Sodium Acid Citrate 
Dilomet DS ,Diloxanide Furoate 
Dizet ,Diloxanide Furoate 
Dizole ,Diloxanide Furoate 
Demax ,Dimehydrinate 
Devinate ,Dimehydrinate 
Dimate ,Dimehydrinate 
Divonate ,Dimehydrinate 
Do-Ge ,Domperidone 
Dompyrax ,Domperidone 
Dectron ,Trimethoprim 
Demprazole ,Trimethoprim 
Dosatran ,Trimethoprim 
Diar-DS ,Diloxanide Furoate 
Diloxamet ,Diloxanide Furoate 
Diloxazole ,Diloxanide Furoate 
Diprotop-MD ,Diloxanide Furoate 
Disenite ,Diloxanide Furoate 
Dimenic ,Dimehydrinate 
Dimetil ,Dimehydrinate 
Diomine ,Dimehydrinate 
Dymin ,Dimehydrinate 
Doliricin ,Domperidone 
Dome-One ,Domperidone 
Domofit ,Domperidone 
Domozat ,Domperidone 
Dompro ,Domperidone 
Domycare ,Domperidone 
Daymac ,Clindamycin 
Danstatin-NN ,Clobetasol Propionate 
Dexoptic ,Dexamethasone 
Decachlor ,Dexamethasone 
Dexachlor ,Dexamethasone 
Dexer ,Dexamethasone 
Dexoptic-C ,Dexamethasone 
Dosachlor ,Dexamethasone 
Dexsul ,Dexamethasone 
Deemine ,Chlorpheniramine 
D-Lor ,Desloratadine 
Deslo ,Desloratadine 
Deslorat ,Desloratadine 
Descora ,Desloratadine 
Danstin ,Ebastine 
Desid ,Ebastine 
Dosavil ,Pheniramine Maleate 
Dirozine ,Promethazine HCL 
Devoquine ,Chloroquine Phosphate 
Dexidon ,Sulfadoxine 
Disprin CV ,Aspirin 
Doloprin ,Aspirin 
Dicny ,Diclofenac Sodium 
Dofnac ,Diclofenac Sodium 
Desite ,Albendazole 
D-Histine ,Cetirizine 
Daisy ,Cetirizine 
Deebar ,Cetirizine 
Demast ,Cetirizine 
Dicet ,Cetirizine 
Dopnil ,Cetirizine 
Dermolone ,Fluocinolone 
Deasma ,Ketotifen 
Diastop ,Loperamide 
Dinclor ,Loratadine 
Dinsave ,Loratadine 
Dytadine ,Loratadine 
Diuza ,Hydrochlorothiazide 
Detox ,Attapulgite 
Danoxone ,"Furazolidone, Oral "
Diarhol ,Kaolin 
Delmic Forte ,Mefenamic Acid 
Darphin ,Cephradine 
Detefen ,Dexibuprofen 
D-fine P ,Diclofenac potassium 
Dardnil ,Diclofenac potassium 
Dectil ,Diclofenac potassium 
Denum K ,Diclofenac potassium 
Di-Pot ,Diclofenac potassium 
Dic-P ,Diclofenac potassium 
Dicbro ,Diclofenac potassium 
Diclo-P ,Diclofenac potassium 
Diclodyn K ,Diclofenac potassium 
Diclofil-P ,Diclofenac potassium 
Diclokam-K ,Diclofenac potassium 
Diclomed ,Diclofenac potassium 
Dicloned- K ,Diclofenac potassium 
Diclotus-K ,Diclofenac potassium 
Diclovel ,Diclofenac potassium 
Diclovis-K ,Diclofenac potassium 
Diclowan QA ,Diclofenac potassium 
Dicloyan-P ,Diclofenac potassium 
Dicpot ,Diclofenac potassium 
Difene ,Diclofenac potassium 
Difsom-P ,Diclofenac potassium 
Dinak ,Diclofenac potassium 
Doljit ,Diclofenac potassium 
Dolocalm ,Diclofenac potassium 
Dorbid ,Diclofenac potassium 
Dosium ,Diclofenac potassium 
Dyna-K ,Diclofenac potassium 
D-Pain ,Diclofenac sodium 
Detaflam ,Diclofenac Sodium and Misoprostol 
D-Cap ,Diclofenac Sodium 
Daltran ,Diclofenac Sodium 
Delfenac ,Diclofenac Sodium 
Demsun ,Diclofenac Sodium 
Dewis ,Diclofenac Sodium 
Dic-,Diclofenac Sodium 
Dic-S ,Diclofenac Sodium 
Dicahit ,Diclofenac Sodium 
Diclac ,Diclofenac Sodium 
Diclo Denk ,Diclofenac Sodium 
Dicloap ,Diclofenac Sodium 
Diclodium ,Diclofenac Sodium 
Diclodyn ,Diclofenac Sodium 
Diclofen ,Diclofenac Sodium 
Diclofil ,Diclofenac Sodium 
Diclok ,Diclofenac Sodium 
Dicloking ,Diclofenac Sodium 
Diclomac ,Diclofenac Sodium 
Diclorex ,Diclofenac Sodium 
Dicloser ,Diclofenac Sodium 
Diclosoft ,Diclofenac Sodium 
Diclowan ,Diclofenac Sodium 
Dicloyan-S ,Diclofenac Sodium 
Dicorum ,Diclofenac Sodium 
Dicsodim ,Diclofenac Sodium 
Dicsonen ,Diclofenac Sodium 
Difen ,Diclofenac Sodium 
Difnac ,Diclofenac Sodium 
Dinofac ,Diclofenac Sodium 
Diosim ,Diclofenac Sodium 
Diroxin ,Diclofenac Sodium 
Disney ,Diclofenac Sodium 
DS-,Diclofenac Sodium 
Durafin ,Diclofenac Sodium 
Dycnom ,Diclofenac Sodium 
Dewcam ,Meloxicam 
Dhanuk ,Meloxicam 
Dolosyn ,Naproxen 
Davirox ,Piroxicam 
Delprox ,Piroxicam 
Dexamol  tablet,Dextropropoxyphene
Dolace ,Tramadol 
Digitek ,Digoxin 
Digox ,Digoxin 
Dobelite ,Dobutamine 
Dobutamed ,Dobutamine 
Dopacin ,Dopamine 
Dopilax ,Dopamine 
Di-Card ,Isosorbide Dinitrate 
Davipon ,Mefenamic Acid 
Dectamol ,Salbutamol 
Erythrocin ,Erythromycin 
Evion ,Vitamin E 
Evion  ,Vitamin E 
Ebixa ,Memantine 
Exelon Patch ,Rivastigmine 
Evokalm ,Quetiapine
Exelon ,Rivastigmine 
Enterogermina Oral Suspension ,Bacillus Clausii
Eventone-c Cream  skin cream,Glucosamine
Easair ,Formoterol
Envepe ,Doxylamine 
Exforge HCT  ,Valsartan+Amlodipine+Hydrochlorothiazide
Etipro ,Omeprazole 
Enflor Sachet ,Saccharomyces Boulardii 
Emadine Eye Drops ,Emedastine
Effidex Cream ,"Betamethasone Dipropionate, Topical "
Effigenta ,"Betamethasone Dipropionate, Topical "
Enziclor  Dental Gel ,Benzydamine 
Eplazyme  syrup,Digestive Enzyme
Ezita ,Ezetimibe 
Effidex Lotion ,"Betamethasone Dipropionate, Topical "
Estar ,Escitalopram 
Euglucon ,Glibenclamide 
Evopride ,Glimepiride 
Evopride Plus     ,Glimepiride 
Evopride Plus ,Glimepiride 
Epival CR ,Divalproex Sodium 
Epival ,Divalproex Sodium 
Epival Syrup ,Divalproex Sodium 
Epicetam ,Levetiracetam 
Eplipsa ,Levetiracetam 
Epigran ,Phenytoin 
Epitoin ,Phenytoin 
Ecogab ,Pregabalin. 
Exforge  ,Amlodipine 
Exforge ,Valsartan 
Extor ,Valsartan 
Extor ,Amlodipine 
Exforge HCT ,Valsartan 
Eziday ,Losartan Potassium 
Edonax IV ,Zoledronic Acid 
Ezonex ,Azithromycin 
E-Clar ,Clarithromycin 
E-Clar DS ,Clarithromycin 
Eziklar ,Clarithromycin 
Emidone ,Domperidone 
Emiset ,Domperidone Maleate 
Epo ,Epoetin Alfa 
Epokine ,Epoetin Alfa 
Eritrogen ,Epoetin Alfa 
E-Cap ,Esomeperazole 
Eger ,Esomeperazole 
Emess ,Esomeperazole 
Es-Loprot ,Esomeperazole 
Esante ,Esomeperazole 
Esgerd ,Esomeperazole 
Eskem ,Esomeperazole 
Esocool ,Esomeperazole 
Esofil ,Esomeperazole 
Esomap ,Esomeperazole 
Esomax ,Esomeperazole 
Esomega ,Esomeperazole 
Esonext ,Esomeperazole 
Esopase ,Esomeperazole 
Esopep ,Esomeperazole 
Esophag ,Esomeperazole 
Esoprazol ,Esomeperazole 
Esorid ,Esomeperazole 
Esoscot ,Esomeperazole 
Espra ,Esomeperazole 
Esso ,Esomeperazole 
Esso ,Esomeprazole 
Esso IV ,Esomeperazole 
Esvin ,Esomeperazole 
Ezium ,Esomeperazole 
Ezomol ,Esomeperazole 
Eyemox-D ,Dexamethasone 
Ebective ,Ebastine 
Evastel ,Ebastine 
Elergifen ,Fexofenadine 
Epilene ,Adapalene 
Exazole ,Lansoprazole 
Effiflox ,Levofloxacin 
Effiquin ,Levofloxacin 
Efloxin ,Levofloxacin 
Eplalev ,Levofloxacin 
Exocin ,Ofloxacin 
Epler ,Eplerenone 
Estezene ,Trifluoperazine 
Exlor ,Cefaclor 
Efroxil ,Cefadroxil 
Evacef ,Cefadroxil 
Efix ,Cefixime 
Evofix ,Cefixime 
Evofix DS,Cefixime 
Eleva ,Cefoperazone 
Eleva Plus,Cefoperazone 
Exef ,Cefotaxime 
Evodoxim ,Cefpodoxime 
Enier ,Betahistine
Erwin ,Diclofenac Sodium and Misoprostol 
Etoxib ,Etoricoxib 
Eyelub Eye Drops  drops,Polyethylene Glycol and Propylene Glycol
Ebixa ,Memantine
Espidone ,Risperidone
Exval-A ,Amlodipine besylate 
Encid ,Omeprazole 
Es-Pramcit ,Escitalopram 
Enervit  drops,Vitamin B complex plain and with Vitamin C
Emglif ,Empagliflozin 
Eno Fruit Salt Lemon  ,Tartaric Acid Containing Antacid Effervescent Salt 
EseGrow  tablet,Ossein Mineral Complex
Exnal ,Nalbuphine 
Exlant ,Dexlansoprazole 
Enervit  syrup,Vitamin B complex plain and with Vitamin C
Esair ,"Formoterol,Oral "
Eyebradex Ophthalmic Drops ,Tobramycin
ES-Pramcit ,Escitalopram 
Elezo ,Iron Polysaccharide Complex 
Epliron ,Eplerenone 
Enflor Capsule ,Saccharomyces Boulardii 
Entpro ,Lactobacillus reuteri 
Enterogermina Anti-Diarrheal  suspension,Bacillus Clausii
Easehale (,Ipratropium Bromide 
Enterogermina ,Bacillus Clausii 
Evokalm XR ,Quetiapine 
Evokalm ,Quetiapine 
Erli Plus XR ,Empagliflozin 
Erbitux ,Cetuximab 
Ebedoce ,Docetaxel 
Entox-P ,Attapulgite 
